COMPLETEPAPER-67_Q	Evidencing the crude oil corrosion by Raman spectroscopy
COMPLETEPAPER-145051_Q	A New Look at the Topographical Global Optimization Method and Its Application to the Phase Stability Analysis of Mixtures
COMPLETEPAPER-147406_Q	Catenary riser sliding and rolling on seabed during induced lateral movement
COMPLETEPAPER-147829_Q	Coastal vulnerabilities under the deliberation of stakeholders: The case of two French sandy beaches
COMPLETEPAPER-149757_Q	Determination of biogenic amines by high-performance liquid chromatography (HPLC-DAD) in probiotic cow's and goat's fermented milks and acceptance
COMPLETEPAPER-149759_Q	Development and validation of a method for the determination of low-ppb levels of macrocyclic lactones in butter
COMPLETEPAPER-149761_Q	Biogenic amines as bacterial quality indicators in different poultry meat species
COMPLETEPAPER-150019_Q	Investigation of self-association between new glycosurfactant N-acetyl-&#946;-d-glucosaminyl-PEG-docosanate and soybean phosphatidylcholine into vesicles
COMPLETEPAPER-150424_Q	Oil removal from produced water by conjugation of flotation and photo-Fenton processes
COMPLETEPAPER-150425_Q	Production of Cellulolytic Enzymes and Application of Crude Enzymatic Extract for Saccharification of Lignocellulosic Biomass
COMPLETEPAPER-150426_Q	Ultrasound-assisted acid and enzymatic hydrolysis of yam (Dioscorea sp
COMPLETEPAPER-150850_Q	Treatment of condylar fractures with an intraoral approach using an angulated screwdriver: Results of a multicentre study
COMPLETEPAPER-155775_Q	On-line sequential extreme learning machine based on recursive partial least squares
COMPLETEPAPER-156225_Q	Association of immunoexpression of the galectins-3 and -7 with histopathological and clinical parameters in oral squamous cell carcinoma in young patients
COMPLETEPAPER-159377_Q	Flow cytometric analysis: Interdependence of healthy and infected udder quarters
COMPLETEPAPER-160064_Q	Seasonal occurrence of Piezodorus guildinii on different plants including morphological and physiological changes
COMPLETEPAPER-162456_Q	Stem cells for amyotrophic lateral sclerosis modeling and therapy: Myth or fact?
COMPLETEPAPER-162838_Q	Rhizophagus clarus and phosphate alter the physiological responses of Crotalaria juncea cultivated in soil with a high Cu level
COMPLETEPAPER-166409_Q	Transient grounding impedance and transient resistivity measurements using a very short current lead
COMPLETEPAPER-169806_Q	Systemic inflammation and oxidative stress in hemodialysis patients are associated with down-regulation of Nrf2
COMPLETEPAPER-170345_Q	Major depression induces oxidative stress and platelet hyperaggregability
COMPLETEPAPER-171599_Q	Calcium/chitosan spheres as catalyst for biodiesel production
COMPLETEPAPER-171600_Q	Characterization and application of dolomite as catalytic precursor for canola and sunflower oils for biodiesel production
COMPLETEPAPER-171947_Q	A highly regioselective and solvent-free Sn(II)-catalyzed glycerol ketals synthesis at room temperature
COMPLETEPAPER-172321_Q	The inverse problem of Lagrangian mechanics for a non-material volume
COMPLETEPAPER-175052_Q	Formation of epsilon martensite by high-pressure torsion in a TRIP steel
COMPLETEPAPER-176332_Q	Long-term transmission system expansion planning with multi-objective evolutionary algorithm
COMPLETEPAPER-176675_Q	Development and Evaluation of a SPR-based Immunosensor for Detection of Anti-Trypanosoma cruzi Antibodies in Human Serum
COMPLETEPAPER-178974_Q	Imidazolium salts as antifungal agents: strong antibiofilm activity against multidrug-resistant <i>Candida tropicalis</i> isolates
COMPLETEPAPER-179851_Q	Use of polyphasic approach including MALDI-TOF MS for identification of Aspergillus section Flavi strains isolated from food commodities in Brazil
COMPLETEPAPER-183592_Q	Ecotoxicity of raw and treated effluents generated by a veterinary pharmaceutical company: a comparison of the sensitivities of different standardized tests
COMPLETEPAPER-186108_Q	Impact of organic no-till vegetables systems on soil organic matter in the Atlantic Forest biome
COMPLETEPAPER-193766_Q	Physical model from 3D ultrasound and magnetic resonance imaging scan data reconstruction of lumbosacral myelomeningocele in a fetus with Chiari II malformation
COMPLETEPAPER-195234_Q	Development of a method to quantify clindamycin in vitreous humor of rabbits  eyes by UPLC-MS/MS: Application to a comparative pharmacokinetic study and in vivo ocular biocompatibility evaluation
COMPLETEPAPER-195235_Q	Polyphenol-enriched cocoa protects the diabetic retina from glial reaction through the sirtuin pathway
COMPLETEPAPER-195238_Q	Copper(II) complexes with &#946;-diketones and N-donor heterocyclic ligands: Crystal structure
COMPLETEPAPER-195363_Q	Comparative analysis of the gas-phase reactions of cylindrospermopsin and the difference in the alkali metal cation mobility
COMPLETEPAPER-196727_Q	Dominant-non-dominant asymmetry of kicking a stationary and rolling ball in a futsal context
COMPLETEPAPER-198996_Q	Assessing Bacillus subtilis biosurfactant effects on the biodegradation of petroleum products
COMPLETEPAPER-204246_Q	What doesn't kill you makes you stronger and weaker: How childhood trauma relates to temperament traits
COMPLETEPAPER-204489_Q	Impact of different by-products from the biodiesel industry and bacterial strains on the production
COMPLETEPAPER-207679_Q	Impact of growth hormone (GH) and follicle stimulating hormone (FSH) on in vitro canine preantral follicle development and estradiol production
COMPLETEPAPER-211682_Q	Silver complexes with sulfathiazole and sulfamethoxazole: Synthesis
COMPLETEPAPER-211683_Q	Silver sulfadoxinate: Synthesis
COMPLETEPAPER-211744_Q	Variation and repetition in the spelling of young children
COMPLETEPAPER-213317_Q	Influence of music on performance and psychophysiological responses during moderate-intensity exercise preceded by fatigue
COMPLETEPAPER-217314_Q	Severity of Brazilian sickle cell disease patients: severity scores and  feasibility of the Bayesian Network Model use
COMPLETEPAPER-217315_Q	Potential utility of melatonin as an antioxidant therapy in the management of sickle cell anemia
COMPLETEPAPER-218929_Q	Innate immune response is differentially dysregulated between bipolar disease and schizophrenia
COMPLETEPAPER-220303_Q	Ecotoxicological effects of carbofuran and oxidised multiwalled carbon nanotubes on the freshwater fish Nile tilapia: Nanotubes enhance pesticide ecotoxicity
COMPLETEPAPER-225364_Q	Physicochemical and microbiological characterization of chicha
COMPLETEPAPER-227468_Q	Impact of sodium chloride replacement by salt substitutes on the proteolysis and rheological properties of dry fermented sausages
COMPLETEPAPER-227665_Q	Do socioeconomic characteristics explain the knowledge and use of native food plants in semiarid environments in Northeastern Brazil?
COMPLETEPAPER-227666_Q	Root biomass under stem bases and at different distances from trees
COMPLETEPAPER-227668_Q	Nitrogen isotopic patterns in tropical forests along a rainfall gradient in Northeast Brazil
COMPLETEPAPER-228354_Q	Influence of enrichment on behavioral and neurogenic effects of antidepressants in Wistar rats submitted to repeated forced swim test
COMPLETEPAPER-233594_Q	Quasi-one-dimensional nanostructured cobalt (Co) intercalated vanadium oxide (V2O5): Peroxovanadate sol gel synthesis and structural study
COMPLETEPAPER-234397_Q	Development and analytical validation of a screening method for simultaneous detection of five adulterants in raw milk using mid-infrared spectroscopy and PLS-DA
COMPLETEPAPER-234650_Q	The effect of different concentrations of copper and lead on the morphology and physiology of Hypnea musciformis cultivated in vitro: a comparative analysis
COMPLETEPAPER-237680_Q	Direct solid sample analysis with graphite furnace atomic absorption spectrometry-A fast and reliable screening procedure for the determination of inorganic arsenic in fish and seafood
COMPLETEPAPER-237681_Q	Method development for the determination of chromium and thallium in fertilizer samples using graphite furnace atomic absorption spectrometry and direct solid sample analysis
COMPLETEPAPER-238102_Q	Strain heterogeneities in the rolling direction of steel sheets submitted to the skin pass: A finite element analysis
COMPLETEPAPER-239998_Q	Relationships between copepod community structure
COMPLETEPAPER-241636_Q	Conservation of animals traded for medicinal purposes in Brazil: Can products derived from plants or domestic animals replace products of wild animals?
COMPLETEPAPER-245755_Q	Dielectric properties of green coconut water relevant to microwave processing: Effect of temperature and field frequency
COMPLETEPAPER-246414_Q	The mechanism of action of ursolic acid as insulin secretagogue and insulinomimetic is mediated by cross-talk between calcium and kinases to regulate glucose balance
COMPLETEPAPER-248628_Q	Biochemical and behavioral responses of the Amazonian fish Colossoma macropomum to crude oil: The effect of oil layer on water surface
COMPLETEPAPER-248629_Q	Gut transport characteristics in herbivorous and carnivorous serrasalmid fish from ion-poor Rio Negro water
COMPLETEPAPER-249494_Q	Generation of Luciferase-Expressing Leishmania infantum chagasi and Assessment of Miltefosine Efficacy in Infected Hamsters through Bioimaging
COMPLETEPAPER-252777_Q	Theoretical spectroscopic studies and identification of metal-citrate (Cd and Pb) complexes by ESI-MS in aqueous solution
COMPLETEPAPER-252780_Q	Theoretical and experimental investigation of complex structures citrate of zinc (II)
COMPLETEPAPER-252782_Q	DFT study of the 1JC-F coupling constant in X-CHF-X fragments (X = O and S)
COMPLETEPAPER-252783_Q	Structural determination of Cu and Fe-Citrate complexes: theoretical investigation and analysis by ESI-MS
COMPLETEPAPER-252848_Q	The role of the frontiers orbital in acid-base chemistry of organic amines probed by ab initio and chemometric techniques
COMPLETEPAPER-253082_Q	The effects of biological geotextiles on gully stabilization in Sao Luis
COMPLETEPAPER-254657_Q	Influences of the tool path strategy on the machining force when milling free form geometries with a ball-end cutting tool
COMPLETEPAPER-257733_Q	Cannabinoid CB1 receptors in the dorsal hippocampus and prelimbic medial prefrontal cortex modulate anxiety-like behavior in rats: additional evidence
COMPLETEPAPER-261779_Q	Influence of mixed sugarcane bagasse samples evaluated by elemental and physical-chemical composition
COMPLETEPAPER-263241_Q	The cosmetic dye quinoline yellow causes DNA damage in vitro
COMPLETEPAPER-266240_Q	New EST&#45;SSR markers of Coffea arabica: transferability and application to studies of molecular characterization and genetic mapping
COMPLETEPAPER-268588_Q	Evaluation of Brazilian sugarcane genotypes for resistance to Sugarcane mosaic virus under greenhouse and field conditions
COMPLETEPAPER-269307_Q	The effect of chain size on the modeling of second sphere effects in biomimetic complexes
COMPLETEPAPER-269308_Q	New Dioxidouranium (VI) and Mixed-Valence Oxidovanadium (IV/V) Coordination Compounds with N
COMPLETEPAPER-270903_Q	New physicochemical interpretations for the adsorption of food dyes on chitosan films using statistical physics treatment
COMPLETEPAPER-270904_Q	Application of spouted bed elutriation in the recycling of lithium ion batteries
COMPLETEPAPER-270905_Q	Preparation of nanoemulsions containing unsaturated fatty acid concentrate-chitosan capsules
COMPLETEPAPER-270906_Q	Adsorption of Methylene Blue by ultrasonic surface modified chitin
COMPLETEPAPER-270907_Q	Microwave-assisted activated carbon from cocoa shell as adsorbent for removal of sodium diclofenac and nimesulide from aqueous effluents
COMPLETEPAPER-271709_Q	Electroanalytical application of a boron-doped diamond electrode: Improving the simultaneous voltammetric determination of amlodipine and valsartan in urine and combined dosage forms
COMPLETEPAPER-273203_Q	Spatial and temporal variation in the predation risk for hermit crabs in a subtropical bay
COMPLETEPAPER-273711_Q	Autophagy inhibition improves the efficacy of curcumin/temozolomide combination therapy in glioblastomas
COMPLETEPAPER-279475_Q	Assessing the climate change impacts on the rainfall erosivity throughout the twenty-first century in the Grande River Basin (GRB) headwaters
COMPLETEPAPER-292146_Q	Cytoplasmic Actin Is an Extracellular Insect Immune Factor which Is Secreted upon Immune Challenge and Mediates Phagocytosis and Direct Killing of Bacteria
COMPLETEPAPER-295809_Q	Monocyte chemoatractant protein-1: A potential biomarker of renal lesion and its relation with oxidative status in sickle cell disease
COMPLETEPAPER-297586_Q	Interactions of <i>Bacillus thuringiensis</i> bioinsecticides and the predatory stink bug <i>Podisus nigrispinus</i> to control <i>Plutella xylostella</i>
COMPLETEPAPER-298644_Q	Study of Pb2+ adsorption in a packed bed column of bentonite using CFD
COMPLETEPAPER-299139_Q	Assessment of biodiesel purification using CO2 at high pressures
COMPLETEPAPER-299141_Q	Liquid&#45;liquid phase equilibrium measurements and modeling for systems involving {soybean oil+ethyl esters+(ethanol+water)}
COMPLETEPAPER-299142_Q	Enzymatic hydrolysis of steam-exploded sugarcane bagasse using high total solids and low enzyme loadings
COMPLETEPAPER-306316_Q	Crystalline nano-coatings of fluorine-substituted hydroxyapatite produced by magnetron sputtering with high plasma confinement
COMPLETEPAPER-306746_Q	Neonatal anoxia in rats: Hippocampal cellular and subcellular changes related to cell death and spatial memory
COMPLETEPAPER-307323_Q	Agmatine enhances antidepressant potency of MK-801 and conventional antidepressants in mice
COMPLETEPAPER-307324_Q	Antidepressant-like effect of zinc is dependent on signaling pathways implicated in BDNF modulation
COMPLETEPAPER-311322_Q	Evaluation of the mechanical behavior of epoxy composite reinforced with Kevlar plain fabric and glass/Kevlar hybrid fabric
COMPLETEPAPER-319419_Q	Molecular characterization of infectious laryngotracheitis virus in naturally infected egg layer chickens in a multi-age flock in Brazil
COMPLETEPAPER-319420_Q	DNA Barcoding identification of commercialized seafood in South Brazil: A governmental regulatory forensic program
COMPLETEPAPER-322176_Q	Through-package fat determination in commercial samples of mayonnaise and salad dressing using time-domain nuclear magnetic resonance spectroscopy and chemometrics
COMPLETEPAPER-322410_Q	Oilfield produced water treatment by ceramic membranes: Preliminary process cost estimation
COMPLETEPAPER-324928_Q	Silencing the odorant receptor co-receptor RproOrco affects the physiology and behavior of the Chagas disease vector Rhodnius prolixus
COMPLETEPAPER-325811_Q	Exploring the potential of Dimorphandra gardneriana galactomannans as drug delivery systems
COMPLETEPAPER-328228_Q	Determination of aromatic sulphur compounds in heavy gas oil by using (low-)flow modulated comprehensive two-dimensional gas chromatography-triple quadrupole mass spectrometry
COMPLETEPAPER-328417_Q	Real-Time Multiobjective Optimization of Operation of Water Supply Systems
COMPLETEPAPER-329693_Q	Prostatic Artery Embolization for Treatment of Benign Prostatic Hyperplasia in Patients with Prostates g 90 g: A Prospective Single-Center Study
COMPLETEPAPER-331836_Q	CONSTRUCTAL DESIGN OF CONVECTIVE CAVITIES INSERTED INTO A CYLINDRICAL SOLID BODY FOR COOLING
COMPLETEPAPER-339179_Q	Contribution of legume tree residues and macrofauna to the improvement of abiotic soil properties in the eastern Amazon
COMPLETEPAPER-340332_Q	Partition Study of Textile Dye Remazol Yellow Gold RNL in Aqueous Two-Phase Systems
COMPLETEPAPER-341512_Q	Reduced LRP6 expression and increase in the interaction of GSK3&#946; with p53 contribute to podocyte apoptosis in diabetes mellitus and are prevented by green tea
COMPLETEPAPER-342550_Q	Sovereign default risk and commitment for fiscal adjustment
COMPLETEPAPER-345210_Q	InGaP 670-nm laser therapy combined with a hydroalcoholic extract of Solidago chilensis Meyen in burn injuries
COMPLETEPAPER-345492_Q	Effective atomic number and density determination of rocks by X-ray microtomography
COMPLETEPAPER-350446_Q	Making sense of confusion: Relating performance
COMPLETEPAPER-351423_Q	Selective membrane permeability and peroxidase activity response of lettuce and arugula irrigated with cyanobacterial-contaminated water
COMPLETEPAPER-352840_Q	Temporal study following burn injury in young rats is associated with skeletal muscle atrophy
COMPLETEPAPER-353268_Q	Between- and within-species trait variability and the assembly of sapling communities in forest patches
COMPLETEPAPER-353398_Q	High Connectivity of the Crocodile Shark between the Atlantic and Southwest Indian Oceans: Highlights for Conservation
COMPLETEPAPER-354899_Q	Polyaniline-Pt and  Polypyrrole-Pt Nanocomposites: Effect of supporting type and morphology on the Nanoparticles Size and Distribution
COMPLETEPAPER-355033_Q	Mesenchymal stem cells engrafted in a fibrin scaffold stimulates Schwann cell reactivity and axonal regeneration following sciatic nerve tubulization
COMPLETEPAPER-357912_Q	Innvitro and innvivo anti-glioma activity of a chalcone-quinoxaline hybrid
COMPLETEPAPER-357913_Q	B2 receptor blockage prevents A&#946;-induced cognitive impairment by neuroinflammation inhibition
COMPLETEPAPER-359685_Q	Spinor fields classification in arbitrary dimensions and new classes of spinor fields on 7-manifolds
COMPLETEPAPER-359686_Q	Holographic dark energy models and higher order generalizations in dynamical Chern-Simons modified gravity
COMPLETEPAPER-360107_Q	Changes in the TNF-alpha/IL-10 ratio in hyperglycemia-associated pregnancies
COMPLETEPAPER-363495_Q	Phenotypic plasticity and ecophysiological strategies in a tropical dry forest chronosequence: A study case with Poincianella pyramidalis
COMPLETEPAPER-363916_Q	Mat Pilates training reduced clinical and ambulatory blood pressure in hypertensive women using antihypertensive medications
COMPLETEPAPER-363917_Q	Aerobic exercise training improves oxidative stress and ubiquitin proteasome system activity in heart of spontaneously hypertensive rats
COMPLETEPAPER-367744_Q	A dispersive nonlocal model for shear wave propagation in laminated composites with periodic structures
COMPLETEPAPER-367940_Q	Data-driven global-ranking local feature selection methods for text categorization
COMPLETEPAPER-367941_Q	META-DES: A dynamic ensemble selection framework using meta-learning
COMPLETEPAPER-368363_Q	Electrochemical detection of dengue virus NS1 protein with a poly(allylamine/carbon nanotube layered immunoelectrode
COMPLETEPAPER-370914_Q	Population genetic structure of the Atlantic Forest endemic Conopophaga lineata (Passeriformes: Conopophagidae) reveals a contact zone in the Atlantic Forest
COMPLETEPAPER-371558_Q	Carbon stock loss from deforestation through 2013 in Brazilian Amazonia
COMPLETEPAPER-378796_Q	Optimization by Central Composite Design of a Modified QuEChERS Method for Extraction of Pesticide Multiresidue in Sweet Pepper and Analysis by Ultra-High-Performance Liquid Chromatography-Tandem Mass Spectrometry
COMPLETEPAPER-379282_Q	Tungsten oxide thin films obtained by anodisation in low electrolyte concentration
COMPLETEPAPER-379625_Q	X-ray fluorescence and gamma-ray spectrometry combined with multivariate analysis for topographic studies in agricultural soil
COMPLETEPAPER-380460_Q	Food safety knowledge and training participation are associated with lower stress and anxiety levels of Brazilian food handlers
