16055	Mixed-Delay-Based Augmented Functional for Sampled-Data Synchronization of Delayed Neural Networks With Communication Delay.
16064	Development of an Adaptive Artifact Subspace Reconstruction Based on Hebbian/Anti-Hebbian Learning Networks for Enhancing BCI Performance.
16079	Transfer Adaptation Learning: A Decade Survey.
16082	Sequential Fusion Estimation for Multirate Complex Networks With Uniform Quantization: A Zonotopic Set-Membership Approach.
16109	A Novel Local-Global Graph Convolutional Method for Point Cloud Semantic Segmentation.
16122	Intermittent Sampled-Data Control for Local Stabilization of Neural Networks Subject to Actuator Saturation: A Work-Interval-Dependent Functional Approach.
16144	An Efficient and Adaptive Granular-Ball Generation Method in Classification Problem.
16221	Multi-View Graph Learning by Joint Modeling of Consistency and Inconsistency.
16562	Supplementary Control for Quantized Discrete-Time Nonlinear Systems Under Goal Representation Heuristic Dynamic Programming.
16598	NeRP: Implicit Neural Representation Learning With Prior Embedding for Sparsely Sampled Image Reconstruction.
16652	Event-Triggered Exponential Synchronization of the Switched Neural Networks With Frequent Asynchronism.
16658	Neuromorphic Camera Denoising Using Graph Neural Network-Driven Transformers.
16772	Variational Attention-Based Interpretable Transformer Network for Rotary Machine Fault Diagnosis.
16897	Proportional-Integral Observer-Based State Estimation for Markov Memristive Neural Networks With Sensor Saturations.
16941	Exponential Synchronization of Memristor-Based Competitive Neural Networks With Reaction- Diffusions and Infinite Distributed Delays.
16960	Targeted-BEHRT: Deep Learning for Observational Causal Inference on Longitudinal Electronic Health Records.
17001	Prioritized Experience-Based Reinforcement Learning With Human Guidance for Autonomous Driving.
17052	Debiased Graph Neural Networks With Agnostic Label Selection Bias.
17074	Data-Driven Inverse Reinforcement Learning Control for Linear Multiplayer Games.
17075	Context-Aware Attentive Multilevel Feature Fusion for Named Entity Recognition.
17139	Event-Triggered Distributed Data-Driven Iterative Learning Bipartite Formation Control for Unknown Nonlinear Multiagent Systems.
17226	Contrastive Learning-Based Dual Dynamic GCN for SAR Image Scene Classification.
17247	Self-Supervised Autoregressive Domain Adaptation for Time Series Data.
17259	Synchronization of Stochastic Neural Networks Using Looped-Lyapunov Functional and Its Application to Secure Communication.
17267	TraverseNet: Unifying Space and Time in Message Passing for Traffic Forecasting.
17271	Prefixed-Time Local Intermittent Sampling Synchronization of Stochastic Multicoupling Delay Reaction-Diffusion Dynamic Networks.
17290	Semi-Supervised Multiscale Dynamic Graph Convolution Network for Hyperspectral Image Classification.
17291	Balancing Transferability and Discriminability for Unsupervised Domain Adaptation.
17419	DRLIE: Flexible Low-Light Image Enhancement via Disentangled Representations.
17455	Single-Image 3-D Reconstruction: Rethinking Point Cloud Deformation.
17476	Multi-View Subspace Clustering via Structured Multi-Pathway Network.
17509	Cooperative Output Regulation for Linear Multiagent Systems via Distributed Fixed-Time Event-Triggered Control.
17629	Robust Self-Ensembling Network for Hyperspectral Image Classification.
17680	DyGCN: Efficient Dynamic Graph Embedding With Graph Convolutional Network.
